nombre,region,cant,dentro,fuera,salidas,1,2,3,4,5,6,7,8,9
jalisco,1,1930,930,1000,600,20,30,40,60,100,100,30,200,20
guadalajara,0,730,630,100,100,10,20,0,30,20,20,0,0,0
zapopan,0,1000,300,700,100,10,0,20,0,30,0,20,0,20
tonala,0,200,0,200,400,0,10,20,30,70,80,10,200,0
michoacan,1,2000,1500,500,1000,100,100,100,100,100,200,100,100,100
morelia,0,1600,1200,400,500,50,50,50,70,100,0,30,50,100
uruapan,0,400,300,100,500,50,50,50,30,0,200,70,50,0
queretaro,1,250,200,50,200,40,40,40,40,40,0,0,0,0
queretaro,0,250,200,50,200,40,40,40,40,40,0,0,0,0
guanajuato,1,1345,700,645,395,40,41,41,41,41,101,50,50,190
guanajuato,0,300,150,150,0,0,0,0,0,0,0,0,0,0
leon,0,500,350,150,300,20,20,20,20,20,0,50,50,100
irapuato,0,545,200,345,95,10,11,11,11,11,11,0,0,30
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,
